order_id,date,region,rep,product_id,quantity,unit_price,discount,status
1001,2025-11-06,South,Eli,106,1,79.0,0,shipped
1002,2025-07-29,East,Eli,106,5,79.0,0,shipped
1003,2025-02-14,West,Farah,107,4,129.0,0,shipped
1004,2025-11-14,West,Farah,109,3,22.0,0,shipped
1005,2025-03-23,North,Chen,107,1,129.0,0.15,shipped
1006,2025-12-07,South,Bo,111,1,59.0,0.05,shipped
1007,2025-01-09,West,Bo,110,3,34.0,0,shipped
1008,2025-10-13,North,Farah,111,5,59.0,0.1,shipped
1009,2025-07-04,West,Eli,110,2,34.0,0,shipped
1010,2025-12-21,West,Chen,111,3,59.0,0,shipped
1011,2025-10-05,South,Dara,102,4,64.0,0,shipped
1012,2025-01-12,West,Farah,112,3,18.0,0.05,shipped
1013,2025-10-15,South,Farah,112,5,18.0,0,shipped
1014,2025-01-25,North,Eli,103,3,48.5,0,shipped
1015,2025-11-30,South,Chen,104,5,29.9,0,shipped
1016,2025-11-04,North,Chen,101,2,39.0,0,shipped
1017,2025-02-03,North,Amara,109,1,22.0,0.15,shipped
1018,2025-06-21,East,Chen,104,3,29.9,0,shipped
1019,2025-01-18,North,Amara,111,1,59.0,0.05,shipped
1020,2025-08-15,East,Bo,108,1,159.0,0,shipped
1021,2025-11-13,East,Dara,101,3,39.0,0,shipped
1022,2025-02-22,East,Eli,106,3,79.0,0,shipped
1023,2025-01-30,West,Eli,112,5,18.0,0,shipped
1024,2025-11-19,South,Bo,106,1,79.0,0.15,shipped
1025,2025-09-18,East,Amara,105,1,119.0,0.1,cancelled
1026,2025-02-09,West,Eli,109,3,22.0,0.1,shipped
1027,2025-02-25,East,Dara,105,1,119.0,0.05,shipped
1028,2025-07-13,West,Bo,107,4,129.0,0,shipped
1029,2025-10-04,South,Dara,112,2,18.0,0.1,shipped
1030,2025-01-30,East,Farah,105,2,119.0,0.1,shipped
1031,2025-01-25,North,Amara,102,5,64.0,0,shipped
1032,2025-10-09,West,Dara,109,1,22.0,0,shipped
1033,2025-08-25,South,Chen,101,1,39.0,0,shipped
1034,2025-09-27,South,Amara,102,1,64.0,0.1,shipped
1035,2025-01-31,East,Amara,103,1,48.5,0,shipped
1036,2025-08-06,East,Bo,109,2,22.0,0,shipped
1037,2025-03-09,North,Bo,110,1,34.0,0.15,shipped
1038,2025-05-14,West,Dara,108,1,159.0,0,shipped
1039,2025-04-16,South,Amara,112,2,18.0,0.1,shipped
1040,2025-01-15,East,Bo,109,1,22.0,0.15,shipped
1041,2025-08-08,East,Amara,112,1,18.0,0,shipped
1042,2025-07-16,South,Chen,105,3,119.0,0.15,shipped
1043,2025-05-27,West,Bo,107,2,129.0,0.15,shipped
1044,2025-01-22,East,Farah,103,2,48.5,0.05,shipped
1045,2025-12-16,East,Eli,108,3,159.0,0.05,shipped
1046,2025-12-25,South,Bo,103,5,48.5,0,shipped
1047,2025-08-03,North,Dara,110,5,34.0,0.05,shipped
1048,2025-08-16,West,Amara,110,3,34.0,0.1,shipped
1049,2025-10-18,North,Chen,112,2,18.0,0.05,shipped
1050,2025-08-02,South,Eli,105,1,119.0,0,shipped
1051,2025-01-06,North,Amara,107,1,129.0,0,shipped
1052,2025-02-03,East,Dara,110,2,34.0,0.05,shipped
1053,2025-01-02,East,Farah,102,1,64.0,0,shipped
1054,2025-02-23,West,Dara,106,1,79.0,0,shipped
1055,2025-09-30,West,Eli,106,1,79.0,0,shipped
1056,2025-08-06,South,Amara,102,2,64.0,0,shipped
1057,2025-10-31,South,Farah,101,2,39.0,0,shipped
1058,2025-07-22,North,Amara,109,1,22.0,0.05,shipped
1059,2025-04-03,North,Eli,105,2,119.0,0.15,shipped
1060,2025-12-02,West,Chen,103,1,48.5,0,shipped
1061,2025-07-21,West,Eli,105,2,119.0,0,cancelled
1062,2025-02-23,North,Chen,104,2,29.9,0.05,shipped
1063,2025-03-26,South,Chen,108,1,159.0,0.1,shipped
1064,2025-07-27,West,Amara,107,2,129.0,0,shipped
1065,2025-06-06,North,Chen,104,1,29.9,0.05,shipped
1066,2025-11-18,East,Farah,107,2,129.0,0.05,shipped
1067,2025-08-16,East,Bo,106,3,79.0,0,shipped
